backend_name;api_name
first_and_last_mediacode;first_and_last_mc
first_and_last_phrase;first_and_last_phrase
first_app_sourceurl;first_app_sourceurl
first_bm_keyword;first_s_keyword
first_bm_type;first_s_type
first_customer;first_customer
first_customer_trackgroup;first_trackgroup
first_device_type;first_device_type
first_logdate;first_date
first_mobile_sourceurl;first_mobile_sourceurl
first_page_cpc;first_page_cpc
first_sourceurl;first_sourceurl
flashid;flashid
full_chain;full_cj
full_chain_dimparam_campaign;full_cj_utm_campaign
full_chain_dimparam_content;full_cj_utm_content
full_chain_dimparam_device_type;full_cj_device_type
full_chain_dimparam_medium;full_cj_utm_medium
full_chain_dimparam_source;full_cj_utm_source
full_chain_dimparam_term;full_cj_utm_term
global_adgroup;global_adgroup
global_campaign;global_campaign
global_keyword;global_keyword
hour;hour
hour_quarter;hour_quarter
http_accept_charset;http_accept_charset
http_cookie;http_cookie
impact_time;impact_time
impact_time_desc;impact_time_desc
industry_nielsen;tv_industry_nielsen
insertion_order;insertion_order
ip;ip
is_converted;is_converted
is_tv;is_tv
isbrand;isbrand
keyword;keyword
keyword_labels;keyword_labels
keyword_near_match_enabled;keyword_near_match_enabled
keyword_status;keyword_status
kuv;csr	
kwf;kwf	
landing_page;landing_page
landing_page_domain;landing_page_domain
language;language
last_two_events;last_two_events
last_two_events_bm_campaign;last_two_events_s_campaign
last_two_events_bm_group;last_two_events_s_group
last_two_events_bm_keyword;last_two_events_s_keyword
last_two_events_device_type;last_two_events_device_type
last_two_events_dimparam_campaign;last_two_events_utm_campaign
last_two_events_dimparam_content;last_two_events_utm_content
last_two_events_dimparam_medium;last_two_events_utm_medium
last_two_events_dimparam_source;last_two_events_utm_source
last_two_events_dimparam_term;last_two_events_utm_term
last_two_events_domain;last_two_events_domain
last_two_events_mediacode;last_two_events_mc
last_two_events_phrase;last_two_events_phrase
lead_period;lead_period
level1_customer_trackgroup;level1_trackgroup
level2_customer_trackgroup;level2_trackgroup
level3_customer_trackgroup;level3_trackgroup
level4_customer_trackgroup;level4_trackgroup
level5_customer_trackgroup;level5_trackgroup
line_item;line_item
line_item_type;line_item_type
location_type;location_type
logdate;date_time
logdate_fit;tv_date_fit
logdate_nielsen;tv_date_nielsen
logdate_post;tv_date_post
logdate_pre;tv_date_pre
main_industry;main_industry
mediacode;mc
mediacodeid;mcid
message;message
metro;metro
metro_criteria_id;metro_criteria_id
minute;minute
model;model
month;month
month_of_year;month_of_year
nb_bm_keyword;nb_s_keyword
nb_bm_type;nb_s_type
nb_customer;nb_customer
nb_customer_trackgroup;nb_trackgroup
nb_device_type;nb_device_type
nb_logdate;nb_date
network;network
OP:fv_accommodation_type;op_accommodation_type
OP:fv_base_price;op_base_price
OP:fv_board_basis;op_board_basis
OP:fv_cabin_type;op_cabin_type
OP:fv_carrier;op_carrier
OP:fv_carrier_code;op_carrier_code
OP:fv_customer_agerange;op_customer_agerange
OP:fv_customer_gender;op_customer_gender
OP:fv_customer_zip;op_customer_zip
OP:fv_dealer;op_dealer	
OP:fv_destination;op_destination
OP:fv_destination_airport_code;op_destination_airport_code
OP:fv_destination_country;op_destination_country
OP:fv_destination_region;op_destination_region
OP:fv_direct;op_direct
OP:fv_flight_booking_code;op_flight_booking_code
OP:fv_flight_number;op_flight_number
OP:fv_form_id;op_form_id
OP:fv_form_name;op_form_name
OP:fv_hid;op_hid
OP:fv_inbound_fare_basis;op_inbound_fare_basis
OP:fv_language;op_language
OP:fv_length;op_length
OP:fv_market;op_market
OP:fv_nights_count;op_nights_count
OP:fv_origin;op_origin	
OP:fv_origin_airport_code;op_origin_airport_code
OP:fv_origin_country;op_origin_country
OP:fv_origin_region;op_origin_region
OP:fv_outbound_fare_basis;op_outbound_fare_basis
OP:fv_product_group_id;op_product_group_id
OP:fv_product_id;op_product_id
OP:fv_product_name;op_product_name
OP:fv_product_price;op_product_price
